site,mjd,lon,lat,ellh,zhd,zwd,ztd
ADAN,58849.0,35.343713346111116,37.003499327777774,60.5178,2.3155795491873614,0.08615807641271479,2.4017376256000764
ADN1,58849.0,35.34374212638889,37.00417502916667,60.8096,2.3155027470158207,0.08614733161508005,2.401650078630901
ADIY,58849.0,38.22967929944444,37.74585825888889,711.0972,2.142600517347491,0.06066677116309804,2.203267288510589
ADY1,58849.0,38.26123880194445,37.760579155277775,741.1756,2.134703901914438,0.059701216657465854,2.1944051185719036
AFYN,58849.0,30.56100326527778,38.738361811944436,1072.276,2.0485939368424204,0.05430456151342003,2.1028984983558403
AGRD,58849.0,43.03287470888889,39.71756164083334,1672.5848,1.903393357236612,0.03681809889515267,1.9402114561317647
AKDG,58849.0,35.871643538055565,39.660159732222226,1404.8163,1.96648239480007,0.04276231575899,2.00924471055906
AKD1,58849.0,35.871069648055546,39.660470830555546,1408.6832,1.9655390281336653,0.04267968354874399,2.0082187116824093
AKHR,58849.0,31.429742201388887,38.36927171444445,1046.3983,2.055423133979589,0.05513847164380403,2.110561605623393
AKLE,58849.0,38.948206747222216,36.71003653277778,385.2808,2.2261608415091447,0.07020165750763681,2.2963624990167815
AKSI,58849.0,31.78749680444445,37.04771597,1193.4362,2.0177932303825106,0.050039260011267225,2.0678324903937777
AKSR,58849.0,33.99814918166667,38.370389852222225,1005.7896,2.0663802205708093,0.05436322562285942,2.1207434461936687
ALNY,58849.0,31.98854416972223,36.55554557305555,62.8486,2.3131113891745247,0.09302840504339875,2.4061397942179235
AMAS,58849.0,35.849294715833345,40.66569066416667,443.6131,2.2115358205360187,0.06466877794600849,2.2762045984820274
AMA1,58849.0,35.809534228888886,40.65693418166666,458.5378,2.2075324529753675,0.06433269338585493,2.2718651463612223
ANMU,58849.0,32.865106364722216,36.069014603055564,39.6446,2.3189035839872387,0.09421544305258389,2.413119027039823
ANK2,58849.0,32.77534744,39.842806145833336,1296.0554,1.9925110542070263,0.046538965488375855,2.0390500196954022
ANRK,58849.0,32.84620184833334,39.85596459166667,1231.2783,2.0085411789181546,0.04803768287333601,2.0565788617914906
ANTE,58849.0,37.37360936611111,37.06496032805556,886.8833,2.095816114311634,0.05633009246251306,2.1521462067741473
ANTL,58849.0,30.66642457166667,36.88844856083333,88.7527,2.304995185725316,0.09103340061835571,2.3960285863436717
ARDH,58849.0,42.69906170222222,41.11126062194445,1834.0687,1.8627685807792447,0.03245892785950589,1.8952275086387507
ARPK,58849.0,38.487320009166666,39.040593081388884,1243.5036,2.0078880999176354,0.046151764661228716,2.054039864578864
ARTV,58849.0,41.818316306944446,41.175097286944435,662.3921,2.1555219652966966,0.0559394128465812,2.211461378143278
AYD1,58849.0,27.8378842725,37.840726428888885,101.8305,2.301541374503079,0.08898089451450486,2.390522269017584
AYVL,58849.0,26.68617784777777,39.31144246222222,54.2555,2.315892350279354,0.08982224371542388,2.4057145939947775
BALK,58849.0,27.893631236944444,39.63936512250001,202.4916,2.276163536425065,0.0813663525923056,2.357529889017371
BAL1,58849.0,27.89266047555555,39.62949798472222,196.9411,2.277698443740761,0.08160718185182578,2.3593056255925866
BAND,58849.0,27.9967112775,40.33122510555556,97.2344,2.3054956201613344,0.08376777243511004,2.3892633925964444
BAN1,58849.0,27.974945728611107,40.34865146444445,98.109,2.3052457608572867,0.08371884672445644,2.3889646075817432
BASK,58849.0,44.01730383277778,38.043443638055564,2312.2405,1.756713343288999,0.027047332991086807,1.7837606762800857
BAYB,58849.0,40.19143542361111,40.250150286111115,1709.0492,1.8935193232242524,0.035433696348519214,1.9289530195727715
BEYS,58849.0,31.74655044472223,37.67730099583333,1187.4602,2.019662689675155,0.05127575950099306,2.070938449176148
BILE,58849.0,29.977391880555558,40.14146042222223,584.326,2.1737927684141902,0.0658363655693081,2.2396291339834984
BING,58849.0,40.50078317138889,38.885452529166656,1183.5291,2.023103488870214,0.04812389107672065,2.0712273799469347
BIN1,58849.0,40.5027404275,38.897216830555564,1170.211,2.026503591794785,0.04847981652425027,2.0749834083190355
BOGZ,58849.0,35.255099929444434,39.19360868333333,1106.7392,2.0407900415612903,0.05046280361716056,2.0912528451784507
BOG1,58849.0,35.247097085833325,39.19333479277777,1118.227,2.0378855561128963,0.05016976661064957,2.088055322723546
BOLU,58849.0,31.602032685555557,40.73353960666667,789.2424,2.119841778387661,0.05849109949429013,2.1783328778819513
BOL1,58849.0,31.606489812222225,40.746410184444436,802.5026,2.1163873164912355,0.058117598206958374,2.174504914698194
BOYT,58849.0,34.79666032861111,41.461039670833344,404.6842,2.2198796498387936,0.0650636058708735,2.284943255709667
BTMN,58849.0,41.15448343027778,37.863601290277785,650.7873,2.1578246034194613,0.06202445107954559,2.219849054499007
BURS,58849.0,29.015229196944443,40.214251377777785,183.2849,2.2820668224853353,0.07971720988976379,2.361784032375099
CANA,58849.0,26.4143352025,40.111205126944455,141.172,2.292533558729982,0.08440021526693685,2.3769337739969187
CANK,58849.0,33.61038037222223,40.608575739444454,794.9424,2.1190645728703363,0.058544135891939714,2.177608708762276
CATK,58849.0,43.060692934722226,38.007344513333344,1527.9151,1.9384671896838757,0.042012907232510416,1.980480096916386
CAVD,58849.0,29.69016344916667,37.15636927083333,1130.4841,2.031654824766004,0.05238333509098288,2.084038159856987
CAV1,58849.0,29.68854743555556,37.15925801888889,1109.9943,2.0367382068505155,0.053005090489753416,2.0897432973402688
CAV2,58849.0,29.689246056944448,37.157089990277775,1128.4628,2.0321553113210302,0.05244470783256382,2.084600019153594
CESM,58849.0,26.372570265,38.30381589888889,52.4472,2.3147845799429954,0.09162729462769836,2.4064118745706935
CZRE,58849.0,42.187998243888885,37.328148091111125,417.4252,2.219759597067678,0.07135590422891938,2.291115501296597
CIHA,58849.0,32.92240568222222,38.65038676611111,1012.7128,2.06429140838949,0.05447556611219517,2.1187669745016855
CMLD,58849.0,32.474515216111115,40.49096622416667,1274.1594,1.9971320449261512,0.046685427897514994,2.043817472823666
CORU,58849.0,34.98220358138889,40.57041087777778,922.0965,2.085566295778324,0.053170996918214204,2.1387372926965385
CYLN,58849.0,40.053432699444436,36.85094627194445,394.788,2.2233960520356595,0.06908749516021871,2.292483547195878
